,name,time,field,value
0,Anglogold - Tropicana,2024-01-11 06:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-11 06:00:00,T,42.5999984741
0,Anglogold - Tropicana,2024-01-11 06:00:00,Wind_Dir,52.0999984741
0,Anglogold - Tropicana,2024-01-11 06:00:00,Wind_Mag,9.39999961853
0,Anglogold - Tropicana,2024-01-11 07:00:00,T,42.5999984741
0,Anglogold - Tropicana,2024-01-11 07:00:00,Wind_Dir,65.0999984741
0,Anglogold - Tropicana,2024-01-11 07:00:00,Wind_Mag,10.1000003815
0,Anglogold - Tropicana,2024-01-11 08:00:00,T,42.5
0,Anglogold - Tropicana,2024-01-11 08:00:00,Wind_Dir,74.6999969482
0,Anglogold - Tropicana,2024-01-11 08:00:00,Wind_Mag,10.8999996185
0,Anglogold - Tropicana,2024-01-11 09:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-11 09:00:00,T,41.9000015259
0,Anglogold - Tropicana,2024-01-11 09:00:00,Wind_Dir,81.8000030518
0,Anglogold - Tropicana,2024-01-11 09:00:00,Wind_Mag,11.8999996185
0,Anglogold - Tropicana,2024-01-11 10:00:00,T,40.4000015259
0,Anglogold - Tropicana,2024-01-11 10:00:00,Wind_Dir,83.5999984741
0,Anglogold - Tropicana,2024-01-11 10:00:00,Wind_Mag,12.8000001907
0,Anglogold - Tropicana,2024-01-11 11:00:00,T,38.5
0,Anglogold - Tropicana,2024-01-11 11:00:00,Wind_Dir,83.5
0,Anglogold - Tropicana,2024-01-11 11:00:00,Wind_Mag,12.5
0,Anglogold - Tropicana,2024-01-11 12:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-11 12:00:00,T,36.7000007629
0,Anglogold - Tropicana,2024-01-11 12:00:00,Wind_Dir,82.3000030518
0,Anglogold - Tropicana,2024-01-11 12:00:00,Wind_Mag,13.1000003815
0,Anglogold - Tropicana,2024-01-11 13:00:00,T,35.7999992371
0,Anglogold - Tropicana,2024-01-11 13:00:00,Wind_Dir,80.9000015259
0,Anglogold - Tropicana,2024-01-11 13:00:00,Wind_Mag,12.8999996185
0,Anglogold - Tropicana,2024-01-11 14:00:00,T,34.7000007629
0,Anglogold - Tropicana,2024-01-11 14:00:00,Wind_Dir,80.0
0,Anglogold - Tropicana,2024-01-11 14:00:00,Wind_Mag,13.1000003815
0,Anglogold - Tropicana,2024-01-11 15:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-11 15:00:00,T,33.5999984741
0,Anglogold - Tropicana,2024-01-11 15:00:00,Wind_Dir,78.5999984741
0,Anglogold - Tropicana,2024-01-11 15:00:00,Wind_Mag,13.0
0,Anglogold - Tropicana,2024-01-11 16:00:00,T,32.4000015259
0,Anglogold - Tropicana,2024-01-11 16:00:00,Wind_Dir,76.5999984741
0,Anglogold - Tropicana,2024-01-11 16:00:00,Wind_Mag,12.6000003815
0,Anglogold - Tropicana,2024-01-11 17:00:00,T,31.3999996185
0,Anglogold - Tropicana,2024-01-11 17:00:00,Wind_Dir,73.3000030518
0,Anglogold - Tropicana,2024-01-11 17:00:00,Wind_Mag,11.8000001907
0,Anglogold - Tropicana,2024-01-11 18:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-11 18:00:00,T,30.2999992371
0,Anglogold - Tropicana,2024-01-11 18:00:00,Wind_Dir,71.6999969482
0,Anglogold - Tropicana,2024-01-11 18:00:00,Wind_Mag,10.8000001907
0,Anglogold - Tropicana,2024-01-11 19:00:00,T,29.5
0,Anglogold - Tropicana,2024-01-11 19:00:00,Wind_Dir,74.5999984741
0,Anglogold - Tropicana,2024-01-11 19:00:00,Wind_Mag,9.89999961853
0,Anglogold - Tropicana,2024-01-11 20:00:00,T,28.5
0,Anglogold - Tropicana,2024-01-11 20:00:00,Wind_Dir,80.5999984741
0,Anglogold - Tropicana,2024-01-11 20:00:00,Wind_Mag,8.19999980927
0,Anglogold - Tropicana,2024-01-11 21:00:00,SigWaveHgt,0.0
0,Anglogold - Tropicana,2024-01-11 21:00:00,T,27.7000007629
0,Anglogold - Tropicana,2024-01-11 21:00:00,Wind_Dir,87.5
0,Anglogold - Tropicana,2024-01-11 21:00:00,Wind_Mag,6.19999980927
0,Anglogold - Tropicana,2024-01-11 22:00:00,T,29.3999996185
0,Anglogold - Tropicana,2024-01-11 22:00:00,Wind_Dir,89.5
0,Anglogold - Tropicana,2024-01-11 22:00:00,Wind_Mag,6.40000009537
